# {"t_start": 1593291957.1406322, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2
-114.8031286643818,100,4761.160097,-80.8031286643818,-27.0,-7.0
-139.35080470517278,100,4761.844136,-137.35080470517278,0.0,-2.0
-143.78633401542902,100,4762.530786,-137.78633401542902,-6.0,0.0
-125.3420804142952,100,4763.216835,-120.3420804142952,-3.0,-2.0
-88.68336225859821,100,4763.884077,-77.68336225859821,-5.0,-6.0
-173.61384712159634,100,4764.575775,-173.61384712159634,0.0,0.0
-134.67197468690574,100,4765.276019,-134.67197468690574,0.0,0.0
-88.80012431880459,100,4765.972859,-88.80012431880459,0.0,0.0
-75.13136711204425,100,4766.644701,-72.13136711204425,-1.0,-2.0
-82.69068770296872,100,4767.334554,-79.69068770296872,-2.0,-1.0
-173.98423302173615,100,4795.596694,-173.98423302173615,0.0,0.0
-86.42702704668045,100,4796.262695,-78.42702704668045,-4.0,-4.0
-100.81046587927267,100,4796.936253,-90.81046587927267,-7.0,-3.0
-87.14926668955013,100,4797.608385,-87.14926668955013,0.0,0.0
-82.3122382517904,100,4798.274184,-72.3122382517904,-4.0,-6.0
-94.6970575004816,100,4798.934921,-94.6970575004816,0.0,0.0
-102.73642625287175,100,4799.61889,-99.73642625287175,-3.0,0.0
-138.34391846507788,100,4800.311097,-134.34391846507788,-3.0,-1.0
-113.42296542599797,100,4800.974251,-105.42296542599797,-4.0,-4.0
-80.51491209864616,100,4801.64535,-80.51491209864616,0.0,0.0
-103.83014476019889,100,4829.831207,-81.83014476019889,-18.0,-4.0
-106.77078231796622,100,4830.513882,-106.77078231796622,0.0,0.0
-146.105129301548,100,4831.190401,-126.105129301548,-20.0,0.0
-108.42094480060041,100,4831.851027,-85.42094480060041,-11.0,-12.0
-61.38660353142768,100,4832.516555,-55.38660353142768,-3.0,-3.0
-126.4001248665154,100,4833.182247,-100.4001248665154,-13.0,-13.0
-71.00328356213868,100,4833.857363,-70.00328356213868,0.0,-1.0
-86.6811789330095,100,4834.549655,-80.6811789330095,-3.0,-3.0
-75.02947728987783,100,4835.258403,-66.02947728987783,-5.0,-4.0
