# {"t_start": 1593313974.7430322, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2
-130.75657311826944,100,1195.746184,-130.75657311826944,0.0,0.0
-184.3909833864309,100,1196.34302,-184.3909833864309,0.0,0.0
-273.26051975786686,100,1196.849444,-273.26051975786686,0.0,0.0
-140.64673972129822,100,1197.369486,-140.64673972129822,0.0,0.0
-221.9511114731431,100,1197.904388,-221.9511114731431,0.0,0.0
-230.21458408236504,100,1198.422549,-230.21458408236504,0.0,0.0
-343.998193025589,100,1199.022048,-343.998193025589,0.0,0.0
-280.4191762804985,100,1199.560301,-280.4191762804985,0.0,0.0
-313.2696619927883,100,1207.482686,-313.2696619927883,0.0,0.0
-510.47367607057095,100,1208.027106,-510.47367607057095,0.0,0.0
-173.43388063460588,100,1208.560393,-173.43388063460588,0.0,0.0
-260.84450756013393,100,1209.136996,-259.84450756013393,-1.0,0.0
-160.56878206133842,100,1209.679555,-160.56878206133842,0.0,0.0
-165.84221398085356,100,1210.242718,-165.84221398085356,0.0,0.0
-249.2863415926695,100,1210.773113,-249.2863415926695,0.0,0.0
-182.13186935335398,100,1211.295415,-182.13186935335398,0.0,0.0
-284.32042613625526,100,1211.880747,-282.32042613625526,-2.0,0.0
-159.68315729498863,100,1212.389344,-159.68315729498863,0.0,0.0
-310.10512536764145,100,1219.750924,-310.10512536764145,0.0,0.0
-256.54736599326134,100,1220.259483,-256.54736599326134,0.0,0.0
-202.7052951604128,100,1220.778227,-202.7052951604128,0.0,0.0
-237.14661568403244,100,1221.296118,-237.14661568403244,0.0,0.0
-147.9604145437479,100,1221.827333,-147.9604145437479,0.0,0.0
-251.05775605142117,100,1222.32545,-251.05775605142117,0.0,0.0
-1054.6973024606705,100,1222.831973,-1054.6973024606705,0.0,0.0
-243.4423576593399,100,1223.347174,-243.4423576593399,0.0,0.0
-179.31482792645693,100,1223.853009,-179.31482792645693,0.0,0.0
-119.3337882719934,100,1224.401068,-119.3337882719934,0.0,0.0
-194.72783018648624,100,1231.482489,-194.72783018648624,0.0,0.0
-179.55624975264072,100,1231.988652,-179.55624975264072,0.0,0.0
-166.5634458065033,100,1232.512857,-166.5634458065033,0.0,0.0
-196.11135526373982,100,1233.033003,-196.11135526373982,0.0,0.0
-188.36109283193946,100,1233.549232,-188.36109283193946,0.0,0.0
-168.364672601223,100,1234.056509,-168.364672601223,0.0,0.0
-263.4584466814995,100,1234.571701,-263.4584466814995,0.0,0.0
-180.11805348098278,100,1235.080901,-180.11805348098278,0.0,0.0
-190.90290991030633,100,1235.592853,-190.90290991030633,0.0,0.0
-121.8781782463193,100,1236.10684,-120.8781782463193,-1.0,0.0
-203.68170538172126,100,1243.416656,-203.68170538172126,0.0,0.0
-200.70577132701874,100,1243.949233,-200.70577132701874,0.0,0.0
-235.18952402472496,100,1244.525037,-235.18952402472496,0.0,0.0
-181.93388148397207,100,1245.05431,-181.93388148397207,0.0,0.0
-230.02381805330515,100,1245.613762,-228.02381805330515,0.0,-2.0
-233.40043219923973,100,1246.138945,-233.40043219923973,0.0,0.0
-150.31212391145527,100,1246.658862,-144.31212391145527,-3.0,-3.0
-235.3649722635746,100,1247.163126,-235.3649722635746,0.0,0.0
-232.66528816521168,100,1247.715518,-230.66528816521168,-2.0,0.0
-231.28261670470238,100,1248.306576,-231.28261670470238,0.0,0.0
-229.10123598575592,100,1256.188563,-229.10123598575592,0.0,0.0
-272.5030799731612,100,1256.733666,-272.5030799731612,0.0,0.0
-228.76777239143848,100,1257.263087,-228.76777239143848,0.0,0.0
-221.67331682145596,100,1257.778246,-221.67331682145596,0.0,0.0
-267.07716649770737,100,1258.338062,-267.07716649770737,0.0,0.0
-258.72604428976774,100,1258.862537,-258.72604428976774,0.0,0.0
-231.72956615686417,100,1259.404754,-231.72956615686417,0.0,0.0
-245.92385894060135,100,1259.932112,-245.92385894060135,0.0,0.0
-222.2605953067541,100,1260.464719,-222.2605953067541,0.0,0.0
-183.90491839125752,100,1261.031697,-183.90491839125752,0.0,0.0
-228.22054208815098,100,1268.455379,-228.22054208815098,0.0,0.0
-113.51201492547989,100,1268.978762,-113.51201492547989,0.0,0.0
-219.3843635469675,100,1269.493987,-219.3843635469675,0.0,0.0
-251.78420567512512,100,1270.032419,-251.78420567512512,0.0,0.0
-417.59469693154097,100,1270.553362,-417.59469693154097,0.0,0.0
-204.4252772629261,100,1271.076424,-198.4252772629261,-5.0,-1.0
-216.46395862102509,100,1271.599414,-212.46395862102509,-2.0,-2.0
-199.81363172084093,100,1272.115238,-199.81363172084093,0.0,0.0
-147.73736153542995,100,1272.642319,-147.73736153542995,0.0,0.0
-264.3537454083562,100,1273.201067,-264.3537454083562,0.0,0.0
-271.0502339154482,100,1279.952124,-271.0502339154482,0.0,0.0
-169.43825317919254,100,1280.548789,-169.43825317919254,0.0,0.0
-177.43648171424866,100,1281.109114,-177.43648171424866,0.0,0.0
-219.7569186091423,100,1281.64576,-219.7569186091423,0.0,0.0
-174.18900398910046,100,1282.154192,-174.18900398910046,0.0,0.0
-881.8823458254337,100,1282.65964,-881.8823458254337,0.0,0.0
-194.0399751663208,100,1283.176371,-194.0399751663208,0.0,0.0
-249.1806066930294,100,1283.688157,-249.1806066930294,0.0,0.0
-233.17499236017466,100,1284.215592,-233.17499236017466,0.0,0.0
-220.50426387786865,100,1284.730531,-220.50426387786865,0.0,0.0
-183.9898924343288,100,1292.18214,-180.9898924343288,-2.0,-1.0
-250.2663401812315,100,1292.698078,-250.2663401812315,0.0,0.0
-135.81232783198357,100,1293.232801,-135.81232783198357,0.0,0.0
-905.2253862023354,100,1293.763169,-905.2253862023354,0.0,0.0
-291.7472633421421,100,1294.275536,-291.7472633421421,0.0,0.0
-215.0600855909288,100,1294.848408,-215.0600855909288,0.0,0.0
-237.82295729219913,100,1295.377208,-237.82295729219913,0.0,0.0
-206.33368928730488,100,1295.917273,-206.33368928730488,0.0,0.0
-236.87029585242271,100,1296.458128,-236.87029585242271,0.0,0.0
-207.5788751784712,100,1297.00846,-207.5788751784712,0.0,0.0
-350.4683346748352,100,1304.705224,-344.4683346748352,-3.0,-3.0
-237.10188649594784,100,1305.256474,-237.10188649594784,0.0,0.0
-126.38442292623222,100,1305.80848,-126.38442292623222,0.0,0.0
-207.07504212856293,100,1306.351311,-207.07504212856293,0.0,0.0
-146.23040163516998,100,1306.936051,-146.23040163516998,0.0,0.0
-182.00279528833926,100,1307.52355,-182.00279528833926,0.0,0.0
-292.6604006588459,100,1308.098948,-292.6604006588459,0.0,0.0
-251.7800942659378,100,1308.697964,-244.7800942659378,-7.0,0.0
-233.4873206987977,100,1309.316614,-229.4873206987977,-4.0,0.0
-380.0325837880373,100,1309.896822,-380.0325837880373,0.0,0.0
-218.45286539196968,100,1316.973947,-218.45286539196968,0.0,0.0
-236.2738009095192,100,1317.745573,-236.2738009095192,0.0,0.0
-1147.87033110857,100,1318.708511,-1147.87033110857,0.0,0.0
-217.2396385371685,100,1319.265898,-217.2396385371685,0.0,0.0
-220.30575814843178,100,1319.800374,-220.30575814843178,0.0,0.0
-215.81227984232828,100,1320.302624,-215.81227984232828,0.0,0.0
-251.94369584321976,100,1320.791329,-251.94369584321976,0.0,0.0
-121.02261180058122,100,1321.324953,-121.02261180058122,0.0,0.0
-418.09050384163857,100,1321.917304,-416.09050384163857,0.0,-2.0
-169.37986093759537,100,1322.431966,-169.37986093759537,0.0,0.0
-1171.6064918339252,100,1330.099607,-1171.6064918339252,0.0,0.0
-227.5804816931486,100,1330.619668,-227.5804816931486,0.0,0.0
-211.7007212229073,100,1331.105634,-205.7007212229073,-6.0,0.0
-154.513288481161,100,1331.688767,-154.513288481161,0.0,0.0
-207.00677850842476,100,1332.200656,-206.00677850842476,-1.0,0.0
